steam_id,comp_main,comp_plus,comp_100
1155970,41873,70514,122732
48700,268481,403959,844764
233290,24781,31423,41421
2321470,56219,119509,376133
323580,18578,20412,26504
1110910,38231,50847,82519
595520,146372,224251,378307
751780,55424,89258,153220
1056960,32972,52893,115560
460930,97474,194767,305720
1084600,298092,424320,577525
265930,7777,22680,42465
698670,19220,21606,22364
218680,26016,37620,47188
1205450,7645,9651,11759
518790,92788,315065,858180
1545560,98853,142806,273827
1369630,44570,67221,75375
208140,57842,147522,398176
1150690,76938,103394,257901
322170,79576,790874,4829273
399810,29305,35363,47248
222880,42352,121436,213357
969990,32429,39443,50734
1102190,11804,117582,349656
294860,109305,137997,213128
1454400,515557,1367531,2890050
1941540,44267,51462,83389
7000,25962,32606,53580
205930,2116,5402,10841
261110,25887,37807,92168
2461850,25564,28933,33575
6900,39636,51747,54750
28050,77132,108689,160526
466560,52224,128619,318378
267530,27649,40873,63274
219640,48989,135605,619755
32500,18723,25450,43420
321040,55506,96413,145758
378540,75086,103643,179418
1290000,140815,187323,226616
46510,27284,33809,35227
2109300,17670,21962,34738
815370,59510,104932,168921
2419090,27383,38637,57488
1388590,65520,114024,198375
107410,70306,152634,433691
322190,44695,59471,75746
544750,24999,69516,140276
205950,24412,33922,73660
204880,37863,161670,522422
1634860,26140,33026,41438
936790,36556,43745,46655
1218210,88945,119979,180904
703080,127526,209310,353974
30,21150,88788,291250
368390,13408,20215,23344
666140,248443,394564,514156
457140,346722,715768,1583068
